unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HRJP;Abril;2022;I;0 a 5;9,30;0;0;0
HRJP;Abril;2022;II;6 a 10;55,90;1;1;0,56
HRJP;Abril;2022;III;11 a 5 ;73,10;0;0;0
HRJP;Abril;2022;IV;> 15;100,00;0;0;0
HRJP;Maio;2022;I;0 a 5;9,30;0;0;0
HRJP;Maio;2022;II;6 a 10;55,90;2;1;1,12
HRJP;Maio;2022;III;11 a 5 ;73,10;0;0;0
HRJP;Maio;2022;IV;> 15;100,00;0;0;0
HRJP;Junho;2022;I;0 a 5;9,30;2;0;0,19
HRJP;Junho;2022;II;6 a 10;55,90;1;1;0,56
HRJP;Junho;2022;III;11 a 5 ;73,10;0;0;0
HRJP;Junho;2022;IV;> 15;100,00;0;0;0
MOV;Janeiro;2022;I;0 a 5;9,30;1;0;0,09
MOV;Janeiro;2022;II;6 a 10;55,90;1;0;0,56
MOV;Janeiro;2022;III;11 a 5 ;73,10;1;1;0,73
MOV;Janeiro;2022;IV;> 15;100,00;0;0;0
MOV;Fevereiro;2022;I;0 a 5;9,30;1;0;0,09
MOV;Fevereiro;2022;II;6 a 10;55,90;4;1;2,24
MOV;Fevereiro;2022;III;11 a 5 ;73,10;0;0;0
MOV;Fevereiro;2022;IV;> 15;100,00;0;0;0
MOV;Março;2022;I;0 a 5;9,30;0;0;0
MOV;Março;2022;II;6 a 10;55,90;3;0;1,68
MOV;Março;2022;III;11 a 5 ;73,10;2;0;1,46
MOV;Março;2022;IV;> 15;100,00;0;0;0
MOV;Abril;2022;I;0 a 5;9,30;0;0;0
MOV;Abril;2022;II;6 a 10;55,90;5;1;2,8
MOV;Abril;2022;III;11 a 5 ;73,10;0;0;0
MOV;Abril;2022;IV;> 15;100,00;0;0;0
MOV;Maio;2022;I;0 a 5;9,30;3;0;0,28
MOV;Maio;2022;II;6 a 10;55,90;0;0;0
MOV;Maio;2022;III;11 a 5 ;73,10;1;1;0,73
MOV;Maio;2022;IV;> 15;100,00;0;0;0
MOV;Junho;2022;I;0 a 5;9,30;2;0;0,19
MOV;Junho;2022;II;6 a 10;55,90;1;1;0,56
MOV;Junho;2022;III;11 a 5 ;73,10;0;0;0
MOV;Junho;2022;IV;> 15;100,00;0;0;0
