unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HJK;janeiro;2018;I;0 a 5;9,3;0;0;0,00
HJK;janeiro;2018;II;6 a 10;55,9;1;0;1,12
HJK;janeiro;2018;III;11 a 5 ;73,1;0;0;1,46
HJK;janeiro;2018;IV;> 15;100;0;0;0,00
HJK;fevereiro;2018;I;0 a 5;9,3;;;
HJK;fevereiro;2018;II;6 a 10;55,9;;;
HJK;fevereiro;2018;III;11 a 5 ;73,1;;;
HJK;fevereiro;2018;IV;> 15;100;;;
HJK;março;2018;I;0 a 5;9,3;;;
HJK;março;2018;II;6 a 10;55,9;;;
HJK;março;2018;III;11 a 5 ;73,1;;;
HJK;março;2018;IV;> 15;100;;;
HJK;abril;2018;I;0 a 5;9,3;;;
HJK;abril;2018;II;6 a 10;55,9;;;
HJK;abril;2018;III;11 a 5 ;73,1;;;
HJK;abril;2018;IV;> 15;100;;;
HJK;maio;2018;I;0 a 5;9,3;;;
HJK;maio;2018;II;6 a 10;55,9;;;
HJK;maio;2018;III;11 a 5 ;73,1;;;
HJK;maio;2018;IV;> 15;100;;;
HJK;junho;2018;I;0 a 5;9,3;;;
HJK;junho;2018;II;6 a 10;55,9;;;
HJK;junho;2018;III;11 a 5 ;73,1;;;
HJK;junho;2018;IV;> 15;100;;;
HJK;julho;2018;I;0 a 5;9,3;;;
HJK;julho;2018;II;6 a 10;55,9;;;
HJK;julho;2018;III;11 a 5 ;73,1;;;
HJK;julho;2018;IV;> 15;100;;;
HJK;agosto;2018;I;0 a 5;9,3;;;
HJK;agosto;2018;II;6 a 10;55,9;;;
HJK;agosto;2018;III;11 a 5 ;73,1;;;
HJK;agosto;2018;IV;> 15;100;;;
HJK;setembro;2018;I;0 a 5;9,3;;;
HJK;setembro;2018;II;6 a 10;55,9;;;
HJK;setembro;2018;III;11 a 5 ;73,1;;;
HJK;setembro;2018;IV;> 15;100;;;
HJK;outubro;2018;I;0 a 5;9,3;;;
HJK;outubro;2018;II;6 a 10;55,9;;;
HJK;outubro;2018;III;11 a 5 ;73,1;;;
HJK;outubro;2018;IV;> 15;100;;;
HJK;novembro;2018;I;0 a 5;9,3;;;
HJK;novembro;2018;II;6 a 10;55,9;;;
HJK;novembro;2018;III;11 a 5 ;73,1;;;
HJK;novembro;2018;IV;> 15;100;;;
HJK;dezembro;2018;I;0 a 5;9,3;;;
HJK;dezembro;2018;II;6 a 10;55,9;;;
HJK;dezembro;2018;III;11 a 5 ;73,1;;;
HJK;dezembro;2018;IV;> 15;100;;;
HRAD;janeiro;2018;I;0 a 5;9,3;5;0;0,28
HRAD;janeiro;2018;II;6 a 10;55,9;3;0;1,68
HRAD;janeiro;2018;III;11 a 5 ;73,1;0;0;0,73
HRAD;janeiro;2018;IV;> 15;100;2;1;0,00
HRAD;fevereiro;2018;I;0 a 5;9,3;2;0;0,47
HRAD;fevereiro;2018;II;6 a 10;55,9;5;1;0,56
HRAD;fevereiro;2018;III;11 a 5 ;73,1;0;0;0,00
HRAD;fevereiro;2018;IV;> 15;100;0;0;0,00
HRAD;março;2018;I;0 a 5;9,3;8;1;0,56
HRAD;março;2018;II;6 a 10;55,9;1;0;0,56
HRAD;março;2018;III;11 a 5 ;73,1;0;0;0,73
HRAD;março;2018;IV;> 15;100;1;1;1,00
HRAD;abril;2018;I;0 a 5;9,3;4;0;1,12
HRAD;abril;2018;II;6 a 10;55,9;2;0;1,68
HRAD;abril;2018;III;11 a 5 ;73,1;2;1;0,00
HRAD;abril;2018;IV;> 15;100;1;1;0,00
HRAD;maio;2018;I;0 a 5;9,3;3;0;0,65
HRAD;maio;2018;II;6 a 10;55,9;2;0;0,56
HRAD;maio;2018;III;11 a 5 ;73,1;2;1;0,00
HRAD;maio;2018;IV;> 15;100;1;0;0,00
